,algorithm,length,ncomp,nswap,time
19184,hybrid,4800,64778,34870,0.048182010650634766
19185,hybrid,4800,61062,32018,0.0456690788269043
19186,hybrid,4800,62178,33255,0.046025991439819336
19187,hybrid,4800,63653,35705,0.04746127128601074
19188,hybrid,4800,62420,32108,0.04674792289733887
19189,hybrid,4800,63929,30125,0.04767799377441406
19190,hybrid,4800,67186,32104,0.049391984939575195
19191,hybrid,4800,65827,33926,0.04849886894226074
19192,hybrid,4800,66320,32089,0.0502169132232666
19193,hybrid,4800,64252,33090,0.04872608184814453
19194,hybrid,4800,71714,33947,0.05290508270263672
19195,hybrid,4800,60557,34597,0.04514288902282715
19196,hybrid,4800,60621,34891,0.048026084899902344
19197,hybrid,4800,63990,35987,0.050581932067871094
19198,hybrid,4800,59919,31244,0.045664072036743164
19199,hybrid,4800,65023,33879,0.0491330623626709
19200,merge,4900,53931,60408,0.08033609390258789
19201,merge,4900,53974,60408,0.08067893981933594
19202,merge,4900,54006,60408,0.08040904998779297
19203,merge,4900,53895,60408,0.08121395111083984
19204,merge,4900,54023,60408,0.08171319961547852
19205,merge,4900,53978,60408,0.08257412910461426
19206,merge,4900,53923,60408,0.08268594741821289
19207,merge,4900,53950,60408,0.08183407783508301
19208,merge,4900,54019,60408,0.08177614212036133
19209,merge,4900,54015,60408,0.08274364471435547
19210,merge,4900,53965,60408,0.08208298683166504
19211,merge,4900,53960,60408,0.08147883415222168
19212,merge,4900,53965,60408,0.08166098594665527
19213,merge,4900,53955,60408,0.08261799812316895
19214,merge,4900,53959,60408,0.08224892616271973
19215,merge,4900,53954,60408,0.08143997192382812
19216,merge,4900,53962,60408,0.08134198188781738
19217,merge,4900,53975,60408,0.08122086524963379
19218,merge,4900,53992,60408,0.07947182655334473
19219,merge,4900,53975,60408,0.07954692840576172
19220,merge,4900,53935,60408,0.07956624031066895
19221,merge,4900,53908,60408,0.07969808578491211
19222,merge,4900,53931,60408,0.07955598831176758
19223,merge,4900,54001,60408,0.07952594757080078
19224,merge,4900,53936,60408,0.08218193054199219
19225,merge,4900,53900,60408,0.08157706260681152
19226,merge,4900,53985,60408,0.08123207092285156
19227,merge,4900,53945,60408,0.08191895484924316
19228,merge,4900,53973,60408,0.08146786689758301
19229,merge,4900,53954,60408,0.08131098747253418
19230,merge,4900,53963,60408,0.0815877914428711
19231,merge,4900,53894,60408,0.08127260208129883
19232,merge,4900,53983,60408,0.08146786689758301
19233,merge,4900,54017,60408,0.08280396461486816
19234,merge,4900,53987,60408,0.08236503601074219
19235,merge,4900,53923,60408,0.08249187469482422
19236,merge,4900,53971,60408,0.0825200080871582
19237,merge,4900,53989,60408,0.08265495300292969
19238,merge,4900,53960,60408,0.0831911563873291
19239,merge,4900,54044,60408,0.08287692070007324
19240,merge,4900,54029,60408,0.08230996131896973
19241,merge,4900,54010,60408,0.08296823501586914
19242,merge,4900,53997,60408,0.08327913284301758
19243,merge,4900,53940,60408,0.08201813697814941
19244,merge,4900,53958,60408,0.08455324172973633
19245,merge,4900,53969,60408,0.08240175247192383
19246,merge,4900,53996,60408,0.0819549560546875
19247,merge,4900,54056,60408,0.0826561450958252
19248,merge,4900,54067,60408,0.08214306831359863
19249,merge,4900,53938,60408,0.08492112159729004
19250,merge,4900,53957,60408,0.08209419250488281
19251,merge,4900,53954,60408,0.0805361270904541
19252,merge,4900,53994,60408,0.08391308784484863
19253,merge,4900,53944,60408,0.08167195320129395
19254,merge,4900,54009,60408,0.08190011978149414
19255,merge,4900,53972,60408,0.08163619041442871
19256,merge,4900,53928,60408,0.08149504661560059
19257,merge,4900,54056,60408,0.08197236061096191
19258,merge,4900,54018,60408,0.08186793327331543
19259,merge,4900,53995,60408,0.08248400688171387
19260,merge,4900,53971,60408,0.08261990547180176
19261,merge,4900,53951,60408,0.08304119110107422
19262,merge,4900,53954,60408,0.08231306076049805
19263,merge,4900,53963,60408,0.08216404914855957
19264,merge,4900,53946,60408,0.08197617530822754
19265,merge,4900,54012,60408,0.08217501640319824
19266,merge,4900,53999,60408,0.08224892616271973
19267,merge,4900,54029,60408,0.08546996116638184
19268,merge,4900,53986,60408,0.08241677284240723
19269,merge,4900,54010,60408,0.0826270580291748
19270,merge,4900,53949,60408,0.08211588859558105
19271,merge,4900,54022,60408,0.08201384544372559
19272,merge,4900,54020,60408,0.08162713050842285
19273,merge,4900,53973,60408,0.08243799209594727
19274,merge,4900,54000,60408,0.0823369026184082
19275,merge,4900,53906,60408,0.08218789100646973
19276,merge,4900,53974,60408,0.08217716217041016
19277,merge,4900,53968,60408,0.08248019218444824
19278,merge,4900,53939,60408,0.08257484436035156
19279,merge,4900,53941,60408,0.08303117752075195
19280,merge,4900,53934,60408,0.08192682266235352
19281,merge,4900,53963,60408,0.08213615417480469
19282,merge,4900,53981,60408,0.08299779891967773
19283,merge,4900,53936,60408,0.08224105834960938
19284,merge,4900,53968,60408,0.08220171928405762
19285,merge,4900,53988,60408,0.08307719230651855
19286,merge,4900,53975,60408,0.08203387260437012
19287,merge,4900,53941,60408,0.08323526382446289
19288,merge,4900,54034,60408,0.08263778686523438
19289,merge,4900,53999,60408,0.0823509693145752
19290,merge,4900,53947,60408,0.08151388168334961
19291,merge,4900,53998,60408,0.0814211368560791
19292,merge,4900,54044,60408,0.08191800117492676
19293,merge,4900,54021,60408,0.08213305473327637
19294,merge,4900,54054,60408,0.08205699920654297
19295,merge,4900,53960,60408,0.08223104476928711
19296,merge,4900,53987,60408,0.08267903327941895
19297,merge,4900,53952,60408,0.08217191696166992
19298,merge,4900,53999,60408,0.0819709300994873
19299,merge,4900,53927,60408,0.08237290382385254
19300,quick,4900,66831,42888,0.05388188362121582
19301,quick,4900,68110,41196,0.054135799407958984
19302,quick,4900,68129,39572,0.05322384834289551
19303,quick,4900,65661,42640,0.05390596389770508
19304,quick,4900,70453,37493,0.053550004959106445
19305,quick,4900,68807,36830,0.05542302131652832
19306,quick,4900,67834,43499,0.05659008026123047
19307,quick,4900,70390,40008,0.05461311340332031
19308,quick,4900,70078,46963,0.05743694305419922
19309,quick,4900,69669,42070,0.05487394332885742
19310,quick,4900,67274,43012,0.05414390563964844
19311,quick,4900,68337,41180,0.05369091033935547
19312,quick,4900,75468,47002,0.060189008712768555
